Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 15:30:34, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 15:30:35, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-14 15:30:43, Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-14 15:30:45, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-14 15:30:53, Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-14 15:30:55, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-14 15:31:03, Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-14 15:31:04, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - hostblock configuration has been changed  Time stamp - 2023-03-14 15:31:12, Router name - RUTX11  Event type - CONFIG  Event text - hostblock configuration has been changed  Time stamp - 2023-03-14 15:31:14, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 15:31:22, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 15:31:23, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-14 15:31:31, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-14 15:31:33, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-14 15:31:41, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-14 15:31:43, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-14 15:31:51, Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-14 15:31:53, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-14 15:32:01, Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-14 15:32:02, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 15:32:10, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 15:32:12, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-14 15:32:20, N/A, +37063897689, N/A, Failed
